# 2d Ising model
# L = 8
# method = multihit
# beta_min = 0
# beta_max = 1
# N_pts_beta = 21
# h_min = 0
# h_max = 1
# N_pts_h = 1
# Ntherm 10000
# Nac 100
# Number of datapoints 2000
# beta 	 e 	 m 	 |m| 	 msq 	 accRate 	 Ntry 	 cV
0.000000e+00	-6.250000e-02	-9.375000e-02	9.375000e-02	8.789062e-03	1.000000e+00	200	0.000000e+00
5.000000e-02	-6.250000e-02	-9.375000e-02	9.375000e-02	8.789062e-03	9.067326e-01	200	0.000000e+00
1.000000e-01	-6.250000e-02	-9.375000e-02	9.375000e-02	8.789062e-03	8.106262e-01	200	0.000000e+00
1.500000e-01	-6.250000e-02	-9.375000e-02	9.375000e-02	8.789062e-03	7.095831e-01	200	0.000000e+00
2.000000e-01	-6.250000e-02	-9.375000e-02	9.375000e-02	8.789062e-03	6.048795e-01	200	0.000000e+00
2.500000e-01	-6.250000e-02	-1.250000e-01	1.250000e-01	1.562500e-02	5.381098e-01	200	0.000000e+00
3.000000e-01	-1.875000e-01	0.000000e+00	0.000000e+00	0.000000e+00	5.304340e-01	199	0.000000e+00
3.500000e-01	-1.250000e-01	-3.125000e-02	3.125000e-02	9.765625e-04	5.587543e-01	200	0.000000e+00
4.000000e-01	-1.308438e-01	2.708125e-01	2.760000e-01	7.726465e-02	5.279301e-01	200	4.679736e-04
4.500000e-01	-5.139687e-01	-4.406250e-03	2.011250e-01	6.362109e-02	5.097944e-01	3	1.197166e-02
5.000000e-01	-7.769063e-01	4.328125e-03	3.133281e-01	1.473843e-01	5.192249e-01	4	2.116423e-02
5.500000e-01	-1.122781e+00	-5.046875e-03	5.207344e-01	3.487407e-01	4.965491e-01	3	3.835988e-02
6.000000e-01	-1.483375e+00	4.500000e-03	7.531875e-01	6.238350e-01	4.632686e-01	3	4.175050e-02
6.500000e-01	-1.737781e+00	-4.687500e-05	8.989219e-01	8.261616e-01	4.455140e-01	2	2.533726e-02
7.000000e-01	-1.869969e+00	-1.835625e-01	9.552812e-01	9.188662e-01	4.468540e-01	2	1.249312e-02
7.500000e-01	-1.930906e+00	7.052031e-01	9.790469e-01	9.605435e-01	4.562455e-01	2	7.172687e-03
8.000000e-01	-1.959125e+00	9.885625e-01	9.885625e-01	9.778428e-01	4.687638e-01	2	4.080710e-03
8.500000e-01	-1.975844e+00	9.934063e-01	9.934063e-01	9.871523e-01	4.792616e-01	2	2.526260e-03
9.000000e-01	-1.985469e+00	-9.960781e-01	9.960781e-01	9.923423e-01	4.822254e-01	3	1.760623e-03
9.500000e-01	-1.990438e+00	9.974531e-01	9.974531e-01	9.950132e-01	4.888750e-01	2	1.179564e-03
1.000000e+00	-1.993750e+00	9.984063e-01	9.984063e-01	9.968682e-01	4.926082e-01	2	7.968750e-04
