# 2d Ising model
# L = 8
# method = heatbath
# beta_min = 0.7
# beta_max = 1
# N_pts_beta = 1
# h_min = 0.3
# h_max = -0.3
# N_pts_h = 101
# Ntherm 10000
# Nac 100
# Number of datapoints 1000
# beta 	 e 	 m 	 |m| 	 msq 	 h 	 - 	 cV
7.000000e-01	-1.965250e+00	9.908750e-01	9.908750e-01	9.821797e-01	-1.800000e-02		2.260248e-03
7.000000e-01	-1.964000e+00	9.904375e-01	9.904375e-01	9.813418e-01	-2.400000e-02		2.358554e-03
7.000000e-01	-1.960688e+00	9.892813e-01	9.892813e-01	9.791260e-01	-3.000000e-02		2.693773e-03
7.000000e-01	-1.968187e+00	9.914688e-01	9.914688e-01	9.833584e-01	-3.600000e-02		2.170392e-03
7.000000e-01	-1.959688e+00	9.891875e-01	9.891875e-01	9.789355e-01	-4.200000e-02		2.735147e-03
7.000000e-01	-1.958813e+00	9.886250e-01	9.886250e-01	9.778848e-01	-4.800000e-02		2.841845e-03
7.000000e-01	-1.961062e+00	9.894688e-01	9.894688e-01	9.794873e-01	-5.400000e-02		2.509089e-03
7.000000e-01	-1.958625e+00	9.885000e-01	9.885000e-01	9.777148e-01	-6.000000e-02		3.019924e-03
7.000000e-01	-1.961188e+00	9.891875e-01	9.891875e-01	9.790234e-01	-6.600000e-02		2.915804e-03
7.000000e-01	-1.956562e+00	9.879375e-01	9.879375e-01	9.766172e-01	-7.200000e-02		3.284483e-03
7.000000e-01	-1.960688e+00	9.889375e-01	9.889375e-01	9.785605e-01	-7.800000e-02		2.751195e-03
7.000000e-01	-1.958000e+00	9.882812e-01	9.882812e-01	9.772549e-01	-8.400000e-02		2.822124e-03
7.000000e-01	-1.957000e+00	9.880625e-01	9.880625e-01	9.768398e-01	-9.000000e-02		3.048443e-03
7.000000e-01	-1.952562e+00	9.868438e-01	9.868438e-01	9.744658e-01	-9.600000e-02		3.259493e-03
7.000000e-01	-1.956937e+00	9.884063e-01	9.884063e-01	9.774033e-01	-1.020000e-01		2.806550e-03
7.000000e-01	-1.955500e+00	9.879062e-01	9.879062e-01	9.764658e-01	-1.080000e-01		2.964990e-03
7.000000e-01	-1.953125e+00	9.868125e-01	9.868125e-01	9.744707e-01	-1.140000e-01		3.310371e-03
7.000000e-01	-1.954937e+00	9.875000e-01	9.875000e-01	9.757285e-01	-1.200000e-01		3.053234e-03
7.000000e-01	-1.954125e+00	9.870625e-01	9.870625e-01	9.749727e-01	-1.260000e-01		3.543397e-03
7.000000e-01	-1.957875e+00	9.883437e-01	9.883437e-01	9.774014e-01	-1.320000e-01		2.931815e-03
7.000000e-01	-1.951437e+00	9.862812e-01	9.862812e-01	9.734814e-01	-1.380000e-01		3.516652e-03
7.000000e-01	-1.951688e+00	9.862500e-01	9.862500e-01	9.733906e-01	-1.440000e-01		3.218441e-03
7.000000e-01	-1.967250e+00	-7.098125e-01	9.908750e-01	9.825137e-01	-1.500000e-01		2.376163e-03
7.000000e-01	-1.971688e+00	-9.923437e-01	9.923437e-01	9.850615e-01	-1.560000e-01		1.848584e-03
7.000000e-01	-1.972187e+00	-9.925000e-01	9.925000e-01	9.853770e-01	-1.620000e-01		1.977179e-03
7.000000e-01	-1.971062e+00	-9.922813e-01	9.922813e-01	9.849189e-01	-1.680000e-01		1.888473e-03
7.000000e-01	-1.973688e+00	-9.929688e-01	9.929688e-01	9.862744e-01	-1.740000e-01		1.771961e-03
7.000000e-01	-1.973000e+00	-9.929375e-01	9.929375e-01	9.861895e-01	-1.800000e-01		1.683181e-03
7.000000e-01	-1.975500e+00	-9.936250e-01	9.936250e-01	9.875254e-01	-1.860000e-01		1.596971e-03
7.000000e-01	-1.976187e+00	-9.938438e-01	9.938438e-01	9.879463e-01	-1.920000e-01		1.569223e-03
7.000000e-01	-1.971875e+00	-9.925000e-01	9.925000e-01	9.853398e-01	-1.980000e-01		1.825059e-03
7.000000e-01	-1.974875e+00	-9.933125e-01	9.933125e-01	9.869395e-01	-2.040000e-01		1.658336e-03
7.000000e-01	-1.973812e+00	-9.930313e-01	9.930313e-01	9.863896e-01	-2.100000e-01		1.794317e-03
7.000000e-01	-1.972688e+00	-9.927813e-01	9.927813e-01	9.859072e-01	-2.160000e-01		1.849044e-03
7.000000e-01	-1.972750e+00	-9.926563e-01	9.926563e-01	9.856846e-01	-2.220000e-01		1.890910e-03
7.000000e-01	-1.977500e+00	-9.942188e-01	9.942188e-01	9.886631e-01	-2.280000e-01		1.378891e-03
7.000000e-01	-1.970750e+00	-9.923750e-01	9.923750e-01	9.850781e-01	-2.340000e-01		1.816399e-03
7.000000e-01	-1.973188e+00	-9.928125e-01	9.928125e-01	9.859805e-01	-2.400000e-01		1.755117e-03
7.000000e-01	-1.978125e+00	-9.941563e-01	9.941563e-01	9.885771e-01	-2.460000e-01		1.419277e-03
7.000000e-01	-1.976813e+00	-9.938438e-01	9.938438e-01	9.879561e-01	-2.520000e-01		1.476429e-03
7.000000e-01	-1.976938e+00	-9.939062e-01	9.939062e-01	9.880967e-01	-2.580000e-01		1.540512e-03
7.000000e-01	-1.978438e+00	-9.944375e-01	9.944375e-01	9.891113e-01	-2.640000e-01		1.439327e-03
7.000000e-01	-1.980250e+00	-9.947813e-01	9.947813e-01	9.897861e-01	-2.700000e-01		1.267385e-03
7.000000e-01	-1.978813e+00	-9.944688e-01	9.944688e-01	9.891787e-01	-2.760000e-01		1.397417e-03
7.000000e-01	-1.976625e+00	-9.939375e-01	9.939375e-01	9.881152e-01	-2.820000e-01		1.420472e-03
7.000000e-01	-1.978375e+00	-9.943125e-01	9.943125e-01	9.888594e-01	-2.880000e-01		1.348044e-03
7.000000e-01	-1.977000e+00	-9.937813e-01	9.937813e-01	9.878623e-01	-2.940000e-01		1.593603e-03
7.000000e-01	-1.976313e+00	-9.937187e-01	9.937187e-01	9.877451e-01	-3.000000e-01		1.556820e-03
