# 2d Ising model
# L = 8
# method = heatbath
# beta_min = 0.7
# beta_max = 1
# N_pts_beta = 1
# h_min = -0.3
# h_max = 0.3
# N_pts_h = 101
# Ntherm 10000
# Nac 100
# Number of datapoints 1000
# beta 	 e 	 m 	 |m| 	 msq 	 h 	 - 	 cV
7.000000e-01	-1.963000e+00	-9.897500e-01	9.897500e-01	9.800605e-01	6.000000e-03		2.475909e-03
7.000000e-01	-1.967688e+00	-9.911875e-01	9.911875e-01	9.828457e-01	1.200000e-02		2.208275e-03
7.000000e-01	-1.962063e+00	-9.895938e-01	9.895938e-01	9.797393e-01	1.800000e-02		2.546758e-03
7.000000e-01	-1.959812e+00	-9.890937e-01	9.890937e-01	9.787803e-01	2.400000e-02		2.747734e-03
7.000000e-01	-1.960375e+00	-9.892813e-01	9.892813e-01	9.791240e-01	3.000000e-02		2.641490e-03
7.000000e-01	-1.965750e+00	-9.907813e-01	9.907813e-01	9.820811e-01	3.600000e-02		2.491527e-03
7.000000e-01	-1.962250e+00	-9.898750e-01	9.898750e-01	9.802559e-01	4.200000e-02		2.513516e-03
7.000000e-01	-1.962313e+00	-9.897500e-01	9.897500e-01	9.800625e-01	4.800000e-02		2.632584e-03
7.000000e-01	-1.962938e+00	-9.897813e-01	9.897813e-01	9.800986e-01	5.400000e-02		2.460242e-03
7.000000e-01	-1.960313e+00	-9.890625e-01	9.890625e-01	9.787559e-01	6.000000e-02		2.801757e-03
7.000000e-01	-1.964000e+00	-9.900937e-01	9.900937e-01	9.807607e-01	6.600000e-02		2.626523e-03
7.000000e-01	-1.957250e+00	-9.876250e-01	9.876250e-01	9.762988e-01	7.200000e-02		3.085744e-03
7.000000e-01	-1.958750e+00	-9.885938e-01	9.885938e-01	9.778662e-01	7.800000e-02		2.829750e-03
7.000000e-01	-1.957875e+00	-9.886250e-01	9.886250e-01	9.778652e-01	8.400000e-02		2.893534e-03
7.000000e-01	-1.960000e+00	-9.889688e-01	9.889688e-01	9.785791e-01	9.000000e-02		2.768500e-03
7.000000e-01	-1.961375e+00	-9.893750e-01	9.893750e-01	9.793125e-01	9.600000e-02		2.484599e-03
