# 2d Ising model
# L = 4
# method = exact
# beta 	 e 	 m 	 |m|
0.000000e+00	0.000000e+00	0.000000e+00	1.963806e-01
1.000000e-02	-2.000534e-02	1.075703e-18	2.006576e-01
2.000000e-02	-4.004278e-02	-5.379676e-18	2.051189e-01
3.000000e-02	-6.014489e-02	-8.549464e-19	2.097787e-01
4.000000e-02	-8.034508e-02	-1.466228e-18	2.146531e-01
5.000000e-02	-1.006781e-01	2.760106e-18	2.197592e-01
6.000000e-02	-1.211807e-01	-9.848579e-19	2.251160e-01
7.000000e-02	-1.418918e-01	-2.104037e-18	2.307442e-01
8.000000e-02	-1.628532e-01	-1.329801e-17	2.366668e-01
9.000000e-02	-1.841106e-01	-6.229256e-18	2.429088e-01
1.000000e-01	-2.057135e-01	-3.963890e-18	2.494978e-01
1.100000e-01	-2.277165e-01	9.794661e-19	2.564642e-01
1.200000e-01	-2.501799e-01	-2.828197e-18	2.638413e-01
1.300000e-01	-2.731704e-01	-1.479410e-18	2.716656e-01
1.400000e-01	-2.967617e-01	2.669913e-18	2.799772e-01
1.500000e-01	-3.210358e-01	5.829785e-18	2.888196e-01
1.600000e-01	-3.460831e-01	1.984004e-18	2.982399e-01
1.700000e-01	-3.720031e-01	-6.690230e-18	3.082891e-01
1.800000e-01	-3.989048e-01	1.056750e-17	3.190212e-01
1.900000e-01	-4.269066e-01	1.271838e-17	3.304936e-01
2.000000e-01	-4.561354e-01	8.778606e-19	3.427656e-01
2.100000e-01	-4.867255e-01	-8.140958e-19	3.558980e-01
2.200000e-01	-5.188164e-01	-3.004751e-18	3.699508e-01
2.300000e-01	-5.525495e-01	-6.895017e-18	3.849818e-01
2.400000e-01	-5.880629e-01	0.000000e+00	4.010434e-01
2.500000e-01	-6.254861e-01	2.284681e-18	4.181792e-01
2.600000e-01	-6.649315e-01	-9.891110e-17	4.364204e-01
2.700000e-01	-7.064856e-01	-3.693161e-18	4.557809e-01
2.800000e-01	-7.501986e-01	-9.861017e-18	4.762525e-01
2.900000e-01	-7.960732e-01	-5.809248e-18	4.978002e-01
3.000000e-01	-8.440541e-01	5.095044e-18	5.203580e-01
3.100000e-01	-8.940186e-01	-3.547007e-17	5.438255e-01
3.200000e-01	-9.457703e-01	-7.654044e-18	5.680667e-01
3.300000e-01	-9.990359e-01	7.861592e-17	5.929104e-01
3.400000e-01	-1.053469e+00	0.000000e+00	6.181540e-01
3.500000e-01	-1.108657e+00	1.870539e-17	6.435697e-01
3.600000e-01	-1.164138e+00	1.559560e-17	6.689131e-01
3.700000e-01	-1.219417e+00	0.000000e+00	6.939339e-01
3.800000e-01	-1.273993e+00	2.111450e-17	7.183878e-01
3.900000e-01	-1.327376e+00	-3.429428e-17	7.420473e-01
4.000000e-01	-1.379116e+00	2.761708e-17	7.647124e-01
4.100000e-01	-1.428820e+00	0.000000e+00	7.862174e-01
4.200000e-01	-1.476161e+00	3.496982e-17	8.064363e-01
4.300000e-01	-1.520892e+00	0.000000e+00	8.252841e-01
4.400000e-01	-1.562847e+00	1.719820e-16	8.427156e-01
4.500000e-01	-1.601933e+00	0.000000e+00	8.587225e-01
4.600000e-01	-1.638128e+00	0.000000e+00	8.733272e-01
4.700000e-01	-1.671469e+00	3.952656e-17	8.865782e-01
4.800000e-01	-1.702039e+00	0.000000e+00	8.985427e-01
4.900000e-01	-1.729961e+00	-4.586071e-17	9.093014e-01
5.000000e-01	-1.755380e+00	0.000000e+00	9.189433e-01
5.100000e-01	-1.778460e+00	0.000000e+00	9.275606e-01
5.200000e-01	-1.799371e+00	0.000000e+00	9.352461e-01
5.300000e-01	-1.818287e+00	0.000000e+00	9.420898e-01
5.400000e-01	-1.835377e+00	-4.391683e-17	9.481775e-01
5.500000e-01	-1.850806e+00	0.000000e+00	9.535893e-01
5.600000e-01	-1.864728e+00	0.000000e+00	9.583990e-01
5.700000e-01	-1.877287e+00	0.000000e+00	9.626739e-01
5.800000e-01	-1.888617e+00	0.000000e+00	9.664750e-01
5.900000e-01	-1.898841e+00	0.000000e+00	9.698566e-01
6.000000e-01	-1.908070e+00	0.000000e+00	9.728675e-01
6.100000e-01	-1.916404e+00	0.000000e+00	9.755506e-01
6.200000e-01	-1.923934e+00	0.000000e+00	9.779443e-01
6.300000e-01	-1.930744e+00	0.000000e+00	9.800821e-01
6.400000e-01	-1.936904e+00	0.000000e+00	9.819937e-01
6.500000e-01	-1.942483e+00	0.000000e+00	9.837050e-01
6.600000e-01	-1.947537e+00	0.000000e+00	9.852391e-01
6.700000e-01	-1.952121e+00	-5.331437e-17	9.866159e-01
6.800000e-01	-1.956281e+00	0.000000e+00	9.878532e-01
6.900000e-01	-1.960058e+00	0.000000e+00	9.889664e-01
7.000000e-01	-1.963491e+00	0.000000e+00	9.899692e-01
7.100000e-01	-1.966613e+00	0.000000e+00	9.908737e-01
7.200000e-01	-1.969454e+00	0.000000e+00	9.916903e-01
7.300000e-01	-1.972042e+00	0.000000e+00	9.924284e-01
7.400000e-01	-1.974400e+00	0.000000e+00	9.930963e-01
7.500000e-01	-1.976550e+00	0.000000e+00	9.937013e-01
7.600000e-01	-1.978511e+00	0.000000e+00	9.942497e-01
7.700000e-01	-1.980302e+00	0.000000e+00	9.947474e-01
7.800000e-01	-1.981937e+00	0.000000e+00	9.951995e-01
7.900000e-01	-1.983431e+00	0.000000e+00	9.956104e-01
8.000000e-01	-1.984798e+00	0.000000e+00	9.959842e-01
8.100000e-01	-1.986047e+00	0.000000e+00	9.963245e-01
8.200000e-01	-1.987191e+00	0.000000e+00	9.966345e-01
8.300000e-01	-1.988237e+00	0.000000e+00	9.969171e-01
8.400000e-01	-1.989196e+00	0.000000e+00	9.971750e-01
8.500000e-01	-1.990074e+00	0.000000e+00	9.974103e-01
8.600000e-01	-1.990879e+00	0.000000e+00	9.976252e-01
8.700000e-01	-1.991617e+00	0.000000e+00	9.978216e-01
8.800000e-01	-1.992294e+00	0.000000e+00	9.980011e-01
8.900000e-01	-1.992914e+00	0.000000e+00	9.981653e-01
9.000000e-01	-1.993484e+00	0.000000e+00	9.983156e-01
9.100000e-01	-1.994007e+00	0.000000e+00	9.984532e-01
9.200000e-01	-1.994487e+00	0.000000e+00	9.985792e-01
9.300000e-01	-1.994927e+00	0.000000e+00	9.986946e-01
9.400000e-01	-1.995332e+00	0.000000e+00	9.988004e-01
9.500000e-01	-1.995704e+00	0.000000e+00	9.988973e-01
9.600000e-01	-1.996046e+00	0.000000e+00	9.989863e-01
9.700000e-01	-1.996360e+00	0.000000e+00	9.990679e-01
9.800000e-01	-1.996649e+00	0.000000e+00	9.991428e-01
9.900000e-01	-1.996914e+00	0.000000e+00	9.992115e-01
1.000000e+00	-1.997158e+00	0.000000e+00	9.992746e-01
