# 2d Ising model
# L = 2
# method = exact
# beta 	 e 	 m 	 |m|
0.000000e+00	0.000000e+00	0.000000e+00	3.750000e-01
1.000000e-02	-4.001065e-02	1.386669e-17	3.851026e-01
2.000000e-02	-8.008495e-02	-1.383343e-17	3.954208e-01
3.000000e-02	-1.202851e-01	0.000000e+00	4.059691e-01
4.000000e-02	-1.606705e-01	1.370091e-17	4.167608e-01
5.000000e-02	-2.012963e-01	0.000000e+00	4.278073e-01
6.000000e-02	-2.422121e-01	0.000000e+00	4.391180e-01
7.000000e-02	-2.834608e-01	0.000000e+00	4.507001e-01
8.000000e-02	-3.250772e-01	0.000000e+00	4.625577e-01
9.000000e-02	-3.670874e-01	0.000000e+00	4.746921e-01
1.000000e-01	-4.095075e-01	0.000000e+00	4.871014e-01
1.100000e-01	-4.523428e-01	0.000000e+00	4.997800e-01
1.200000e-01	-4.955876e-01	0.000000e+00	5.127190e-01
1.300000e-01	-5.392248e-01	0.000000e+00	5.259054e-01
1.400000e-01	-5.832255e-01	0.000000e+00	5.393230e-01
1.500000e-01	-6.275491e-01	0.000000e+00	5.529513e-01
1.600000e-01	-6.721440e-01	0.000000e+00	5.667669e-01
1.700000e-01	-7.169477e-01	0.000000e+00	5.807424e-01
1.800000e-01	-7.618878e-01	0.000000e+00	5.948479e-01
1.900000e-01	-8.068833e-01	0.000000e+00	6.090505e-01
2.000000e-01	-8.518451e-01	0.000000e+00	6.233148e-01
2.100000e-01	-8.966782e-01	0.000000e+00	6.376039e-01
2.200000e-01	-9.412826e-01	0.000000e+00	6.518794e-01
2.300000e-01	-9.855553e-01	0.000000e+00	6.661021e-01
2.400000e-01	-1.029392e+00	0.000000e+00	6.802324e-01
2.500000e-01	-1.072687e+00	0.000000e+00	6.942313e-01
2.600000e-01	-1.115340e+00	0.000000e+00	7.080605e-01
2.700000e-01	-1.157249e+00	0.000000e+00	7.216829e-01
2.800000e-01	-1.198322e+00	0.000000e+00	7.350636e-01
2.900000e-01	-1.238470e+00	0.000000e+00	7.481697e-01
3.000000e-01	-1.277612e+00	0.000000e+00	7.609709e-01
3.100000e-01	-1.315674e+00	0.000000e+00	7.734401e-01
3.200000e-01	-1.352593e+00	0.000000e+00	7.855531e-01
3.300000e-01	-1.388314e+00	0.000000e+00	7.972890e-01
3.400000e-01	-1.422791e+00	0.000000e+00	8.086305e-01
3.500000e-01	-1.455988e+00	0.000000e+00	8.195633e-01
3.600000e-01	-1.487879e+00	0.000000e+00	8.300769e-01
3.700000e-01	-1.518447e+00	0.000000e+00	8.401636e-01
3.800000e-01	-1.547683e+00	0.000000e+00	8.498192e-01
3.900000e-01	-1.575587e+00	0.000000e+00	8.590421e-01
4.000000e-01	-1.602168e+00	0.000000e+00	8.678336e-01
4.100000e-01	-1.627438e+00	0.000000e+00	8.761973e-01
4.200000e-01	-1.651420e+00	0.000000e+00	8.841390e-01
4.300000e-01	-1.674138e+00	0.000000e+00	8.916666e-01
4.400000e-01	-1.695625e+00	0.000000e+00	8.987895e-01
4.500000e-01	-1.715915e+00	0.000000e+00	9.055186e-01
4.600000e-01	-1.735046e+00	0.000000e+00	9.118660e-01
4.700000e-01	-1.753059e+00	0.000000e+00	9.178447e-01
4.800000e-01	-1.769997e+00	0.000000e+00	9.234686e-01
4.900000e-01	-1.785904e+00	0.000000e+00	9.287518e-01
5.000000e-01	-1.800825e+00	0.000000e+00	9.337092e-01
5.100000e-01	-1.814807e+00	0.000000e+00	9.383554e-01
5.200000e-01	-1.827894e+00	0.000000e+00	9.427055e-01
5.300000e-01	-1.840132e+00	0.000000e+00	9.467742e-01
5.400000e-01	-1.851565e+00	0.000000e+00	9.505763e-01
5.500000e-01	-1.862238e+00	0.000000e+00	9.541261e-01
5.600000e-01	-1.872193e+00	0.000000e+00	9.574376e-01
5.700000e-01	-1.881471e+00	0.000000e+00	9.605246e-01
5.800000e-01	-1.890112e+00	0.000000e+00	9.634002e-01
5.900000e-01	-1.898156e+00	0.000000e+00	9.660771e-01
6.000000e-01	-1.905638e+00	0.000000e+00	9.685675e-01
6.100000e-01	-1.912594e+00	0.000000e+00	9.708831e-01
6.200000e-01	-1.919058e+00	0.000000e+00	9.730351e-01
6.300000e-01	-1.925061e+00	0.000000e+00	9.750339e-01
6.400000e-01	-1.930635e+00	0.000000e+00	9.768897e-01
6.500000e-01	-1.935806e+00	0.000000e+00	9.786119e-01
6.600000e-01	-1.940603e+00	0.000000e+00	9.802095e-01
6.700000e-01	-1.945052e+00	0.000000e+00	9.816911e-01
6.800000e-01	-1.949175e+00	0.000000e+00	9.830645e-01
6.900000e-01	-1.952996e+00	0.000000e+00	9.843373e-01
7.000000e-01	-1.956536e+00	0.000000e+00	9.855164e-01
7.100000e-01	-1.959814e+00	0.000000e+00	9.866085e-01
7.200000e-01	-1.962850e+00	0.000000e+00	9.876198e-01
7.300000e-01	-1.965660e+00	0.000000e+00	9.885560e-01
7.400000e-01	-1.968260e+00	0.000000e+00	9.894225e-01
7.500000e-01	-1.970667e+00	0.000000e+00	9.902243e-01
7.600000e-01	-1.972893e+00	0.000000e+00	9.909661e-01
7.700000e-01	-1.974953e+00	0.000000e+00	9.916524e-01
7.800000e-01	-1.976857e+00	0.000000e+00	9.922870e-01
7.900000e-01	-1.978619e+00	0.000000e+00	9.928740e-01
8.000000e-01	-1.980247e+00	0.000000e+00	9.934167e-01
8.100000e-01	-1.981753e+00	0.000000e+00	9.939184e-01
8.200000e-01	-1.983145e+00	0.000000e+00	9.943822e-01
8.300000e-01	-1.984431e+00	0.000000e+00	9.948109e-01
8.400000e-01	-1.985620e+00	0.000000e+00	9.952071e-01
8.500000e-01	-1.986719e+00	0.000000e+00	9.955732e-01
8.600000e-01	-1.987734e+00	0.000000e+00	9.959116e-01
8.700000e-01	-1.988672e+00	0.000000e+00	9.962242e-01
8.800000e-01	-1.989538e+00	0.000000e+00	9.965131e-01
8.900000e-01	-1.990339e+00	0.000000e+00	9.967799e-01
9.000000e-01	-1.991079e+00	0.000000e+00	9.970264e-01
9.100000e-01	-1.991762e+00	0.000000e+00	9.972541e-01
9.200000e-01	-1.992393e+00	0.000000e+00	9.974645e-01
9.300000e-01	-1.992976e+00	0.000000e+00	9.976588e-01
9.400000e-01	-1.993514e+00	0.000000e+00	9.978382e-01
9.500000e-01	-1.994012e+00	0.000000e+00	9.980039e-01
9.600000e-01	-1.994471e+00	0.000000e+00	9.981570e-01
9.700000e-01	-1.994895e+00	0.000000e+00	9.982983e-01
9.800000e-01	-1.995286e+00	0.000000e+00	9.984289e-01
9.900000e-01	-1.995648e+00	0.000000e+00	9.985494e-01
1.000000e+00	-1.995982e+00	0.000000e+00	9.986607e-01
