# 2d Ising model
# L = 32
# method = multihit
# beta_min = 0
# beta_max = 1
# N_pts_beta = 21
# h_min = 0
# h_max = 1
# N_pts_h = 1
# Ntherm 10000
# Nac 100
# Number of datapoints 2000
# beta 	 e 	 m 	 |m| 	 msq 	 accRate 	 Ntry 	 cV
0.000000e+00	-1.562500e-02	7.812500e-03	7.812500e-03	6.103516e-05	1.000000e+00	300	0.000000e+00
5.000000e-02	-1.562500e-02	7.812500e-03	7.812500e-03	6.103516e-05	9.185841e-01	300	0.000000e+00
1.000000e-01	-1.562500e-02	7.812500e-03	7.812500e-03	6.103516e-05	8.284665e-01	300	0.000000e+00
1.500000e-01	-1.562500e-02	7.812500e-03	7.812500e-03	6.103516e-05	7.320440e-01	300	0.000000e+00
2.000000e-01	-1.171875e-02	5.859375e-03	5.859375e-03	3.433228e-05	6.322502e-01	300	0.000000e+00
2.500000e-01	-1.562500e-02	1.562500e-02	1.562500e-02	2.441406e-04	5.397289e-01	300	0.000000e+00
3.000000e-01	-1.953125e-02	-1.562500e-02	1.562500e-02	2.441406e-04	5.349002e-01	300	0.000000e+00
3.500000e-01	-8.984375e-02	6.640625e-02	6.640625e-02	4.409790e-03	5.180739e-01	300	0.000000e+00
4.000000e-01	-3.405195e-01	-4.951172e-04	3.806738e-02	2.280821e-03	5.038786e-01	5	6.448928e-04
4.500000e-01	-5.042012e-01	1.561523e-03	4.951270e-02	3.775454e-03	4.895511e-01	3	6.657348e-04
5.000000e-01	-6.833301e-01	-3.527344e-03	6.640234e-02	6.874218e-03	4.773918e-01	3	1.192924e-03
5.500000e-01	-8.743516e-01	1.399414e-03	9.681543e-02	1.448490e-02	4.508306e-01	3	1.284108e-03
6.000000e-01	-1.092547e+00	-5.382813e-03	1.831309e-01	5.097707e-02	4.158783e-01	3	2.202501e-03
6.500000e-01	-1.515656e+00	7.139551e-02	6.851631e-01	5.034182e-01	3.689108e-01	3	5.442530e-03
7.000000e-01	-1.794105e+00	9.228799e-01	9.228799e-01	8.528203e-01	3.457954e-01	3	1.487992e-03
7.500000e-01	-1.890314e+00	-9.645127e-01	9.645127e-01	9.305295e-01	3.392497e-01	3	7.123877e-04
8.000000e-01	-1.936689e+00	9.811064e-01	9.811064e-01	9.626472e-01	3.365532e-01	3	4.024457e-04
8.500000e-01	-1.962262e+00	9.892373e-01	9.892373e-01	9.786273e-01	3.351591e-01	3	2.625267e-04
9.000000e-01	-1.976762e+00	9.935586e-01	9.935586e-01	9.871788e-01	3.344453e-01	3	1.766857e-04
9.500000e-01	-1.984713e+00	-9.958848e-01	9.958848e-01	9.917974e-01	3.340124e-01	3	1.194917e-04
1.000000e+00	-1.989957e+00	9.973320e-01	9.973320e-01	9.946777e-01	3.337709e-01	3	8.602843e-05
